amazon.com,54.239.25.208
sohu.com,220.181.90.20
apple.com,17.172.224.47
hao123.com,180.149.131.31
windows.com,104.43.142.34
ebay.com,66.211.160.86
taobao.com,110.75.115.70
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.8
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.149.230
mozilla.com,63.245.213.24
youku.com,220.181.185.141
about.com,207.241.148.80
orkut.com.br,64.233.182.118
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
yandex.ru,77.88.55.66
myspace.com,63.135.90.70
mail.ru,94.100.180.202
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,118.184.184.70
orkut.com,64.233.182.118
skype.com,157.56.114.105
ameblo.jp,180.233.142.129
naver.com,125.209.222.141
flickr.com,69.147.76.173
4shared.com,204.155.149.38
amazon.co.jp,54.240.252.0
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,72.21.206.80
aol.com,149.174.107.97
facebook.com,173.252.120.68
youtube.com,216.58.217.46
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,208.80.153.224
msn.com,23.101.196.141
baidu.com,220.181.57.217
blogspot.com,216.58.217.41
microsoft.com,104.43.195.251
qq.com,61.135.157.156
ifeng.com,210.51.19.61
wordpress.com,192.0.78.9
tudou.com,123.126.98.150
yahoo.co.jp,182.22.59.229
pps.tv,58.83.190.154
xunlei.com,182.118.18.100
56.com,101.227.173.126
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.246.78
sdjjdsaf.com,
fc2.com,52.88.15.137
paypal.com,66.211.169.66
sogou.com,106.120.188.48
tmall.com,140.205.130.99
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
